beta,eta_l,eta_h,epsilon,mu,nu,psi,rho,sigma,prev_Ash,prev_Asl,kappa,notifiedprev
0.372500752,0.320415193,1.149112258,0.733170526,205.7230955,2.619208591,0.204937781,57.02403505,85.96069727,0.052397288,0.003325041,1,0.38
0.39215156,0.365099149,0.867679468,0.508456859,110.902745,3.040443457,0.147179953,72.02273799,86.44258384,0.042925503,0.003183852,1,0.38
0.339855712,0.392815356,0.677570514,0.87044392,129.6414996,2.458675012,0.163109835,66.30195126,69.15774367,0.066051689,0.00597804,1,0.38
0.521940817,0.313194355,0.816726306,0.252300686,290.8291763,4.081061595,0.1140755,49.66091944,92.94305969,0.052507147,0.007014,1,0.38
0.358320184,0.347795483,0.857221572,0.854508038,273.9345469,2.588195501,0.169350261,48.86082638,129.0532389,0.055005006,0.00611974,1,0.38
0.33339511,0.323719316,0.851065929,0.071863372,213.8526793,2.107661765,0.191321327,63.80381304,110.5229015,0.040851689,0.007269136,1,0.38
0.352539545,0.443790877,0.599003074,0.888012126,151.5857553,2.487989737,0.138122094,56.71981632,169.2502128,0.064476869,0.00950955,1,0.38
0.465285153,0.329406781,0.818560364,0.705029724,194.5689399,3.804898235,0.122865161,54.43191734,131.8445861,0.0628099,0.000265407,1,0.38
0.413192274,0.329760948,0.857773365,0.872035151,129.5769282,3.57679267,0.151898391,51.76053321,43.11817617,0.054087101,0.003761665,1,0.38
0.311335235,0.311493311,0.953831973,0.959810527,246.3662216,2.082561129,0.212152516,53.58340582,88.71120741,0.05320826,0.00999305,1,0.38
0.315514601,0.347836454,0.492574456,0.465451751,187.0626217,1.746125868,0.157105044,53.76511397,146.4254678,0.078144045,0.006554749,1,0.38
0.258641934,0.366492515,0.587228594,0.849918439,217.7100464,1.430911185,0.20375949,53.68309647,104.2994723,0.074662997,0.00983054,1,0.38
0.282757307,0.325281161,0.912075893,0.69931945,198.6662271,1.780036096,0.214675739,53.50412224,97.47231359,0.061156107,0.006210975,1,0.38
0.425266376,0.35002313,0.965621932,0.343476639,206.0174393,3.059839063,0.164035827,49.96904339,107.3234421,0.069287374,0.006367694,1,0.38
0.332236491,0.223321939,1.539267963,0.668513678,117.7424907,1.875238644,0.274710942,62.02572857,65.11541179,0.03067883,0.004730514,1,0.38
0.464234529,0.307384773,1.043417682,0.054644041,244.9297184,3.290620287,0.160144847,64.85806598,108.6018594,0.039729752,0.004367672,1,0.38
0.478910375,0.296107429,1.093062889,0.846585471,158.2783237,4.409082998,0.141797172,55.4361251,72.20132162,0.04447715,0.001523443,1,0.38
0.431612346,0.314664933,0.878603032,0.228827837,467.7943914,3.026157167,0.155157272,49.82649391,105.3138647,0.041289918,0.006141256,1,0.38
0.395130366,0.319085209,0.850203065,0.868915254,181.3464747,3.267353074,0.14750939,59.63467772,75.63023141,0.052332859,0.007191719,1,0.38
0.338406535,0.428859512,0.557124265,0.233463887,122.416962,2.195975123,0.122342146,59.07984485,147.8531283,0.082703813,0.005057214,1,0.38
0.368327406,0.326517011,1.035197834,0.72986952,83.36464816,2.620333041,0.19889336,56.77872999,101.1602615,0.041988212,0.007414847,1,0.38
0.482349193,0.313561115,0.780026958,0.402952859,119.5459014,3.690264404,0.12944731,42.54233493,93.3498422,0.063015184,0.004596139,1,0.38
0.368811626,0.301890924,0.857764306,0.687213238,161.1593094,2.608307982,0.166836332,56.76133499,78.63943775,0.057818826,0.002368978,1,0.38
0.340280109,0.407056101,0.676619007,0.545124666,293.1509197,2.508123216,0.153377594,49.54609342,82.32347924,0.063600516,0.008858544,1,0.38
0.473406076,0.329935688,1.054254634,0.067685564,233.4088325,3.525704833,0.142930019,54.50417033,133.4701243,0.047424164,0.001246329,1,0.38
0.413926181,0.314558755,0.78935926,0.726667138,222.1682713,3.208931189,0.145673135,63.71893102,126.4881761,0.062029972,0.00986982,1,0.38
0.475985087,0.367395808,0.665740863,0.222368009,123.0495642,3.462521624,0.124412904,63.00006849,108.3336703,0.061264581,0.003528094,1,0.38
0.429801249,0.28159848,0.836464663,0.26464065,240.319875,3.12394637,0.152309002,50.23019725,122.6924623,0.043874467,0.008819474,1,0.38
0.293176035,0.321356192,0.902573729,0.278933278,180.1182077,1.662387516,0.227709071,48.26798104,82.37571207,0.052410035,0.008072945,1,0.38
0.285297927,0.364503227,0.76765479,0.900684986,127.7472904,1.902447712,0.186954539,67.14339016,108.8337706,0.073176549,0.008562794,1,0.38
0.346485701,0.356378169,0.788843771,0.700253023,249.9971473,2.484476708,0.151857609,56.38113809,101.948471,0.059450534,0.002556149,1,0.38
0.41759915,0.222309924,1.677765404,0.762133127,158.4102456,2.674064469,0.255770424,56.88048542,100.7494352,0.02862292,0.00373466,1,0.38
0.541239676,0.38521494,0.432888174,0.698105363,152.9597673,3.751159273,0.086502849,51.41128725,94.78165069,0.087190067,0.003146525,1,0.38
0.309800706,0.368549738,0.640929593,0.388530991,97.17174822,1.784414884,0.186942389,53.67027611,122.5426729,0.085863276,2.37433E-05,1,0.38
0.389132663,0.40444654,0.463529537,0.241921712,143.436391,2.537523137,0.099950609,68.87804754,110.1919932,0.085717742,0.008148519,1,0.38
0.400889086,0.327286713,0.752902496,0.334708972,125.8862082,2.945839706,0.141385308,53.93115127,71.16823884,0.060995922,0.002130368,1,0.38
0.432877865,0.327487119,0.755554377,0.994749455,93.33142336,3.402464891,0.134444781,65.65010437,87.01069464,0.070634088,0.007022058,1,0.38
0.287349548,0.347307268,0.680951847,0.84986634,200.7924958,1.705458313,0.196306623,62.54298911,124.3596462,0.071168235,0.009643021,1,0.38
0.445350264,0.349030614,0.823553315,0.47911304,220.4109357,3.543873354,0.1324799,57.63169601,64.51892151,0.066542291,0.001309471,1,0.38
0.623214557,0.328593586,0.52592038,0.329758096,147.99955,4.396832884,0.077480323,56.72485812,80.37877866,0.079473745,0.005591478,1,0.38
0.352232841,0.357735014,0.555229535,0.31334725,165.0322468,2.569428433,0.131826758,57.31791814,107.9032698,0.063983955,0.008631213,1,0.38
0.34743703,0.376265054,0.838036636,0.718037249,287.9534397,2.530374785,0.173497999,50.77741225,131.4271399,0.035111592,0.007602694,1,0.38
